gene_symbol,ensembl_id,token_id
ENSG00000285961,ENSG00000285961,58246
ENSG00000285963,ENSG00000285963,58247
ENSG00000285964,ENSG00000285964,58248
ENSG00000285966,ENSG00000285966,58249
NIPBL-DT,ENSG00000285967,58250
ENSG00000285968,ENSG00000285968,58251
ENSG00000285969,ENSG00000285969,58252
ENSG00000285970,ENSG00000285970,58253
ENSG00000285971,ENSG00000285971,58254
CERNA2,ENSG00000285972,58255
ENSG00000285973,ENSG00000285973,58256
ENSG00000285974,ENSG00000285974,58257
FAM90A7,ENSG00000285975,58258
ENSG00000285976,ENSG00000285976,58259
ENSG00000285977,ENSG00000285977,58260
ENSG00000285978,ENSG00000285978,58261
ENSG00000285979,ENSG00000285979,58262
ENSG00000285980,ENSG00000285980,58263
ENSG00000285981,ENSG00000285981,58264
ENSG00000285982,ENSG00000285982,58265
ENSG00000285984,ENSG00000285984,58266
LINC02689,ENSG00000285985,58267
ENSG00000285986,ENSG00000285986,58268
ENSG00000285987,ENSG00000285987,58269
ENSG00000285988,ENSG00000285988,58270
H2AQ1P,ENSG00000285989,58271
NBEAP6,ENSG00000285990,58272
ENSG00000285991,ENSG00000285991,58273
ENSG00000285992,ENSG00000285992,58274
ENSG00000285993,ENSG00000285993,58275
ENSG00000285994,ENSG00000285994,58276
ENSG00000285996,ENSG00000285996,58277
ENSG00000285997,ENSG00000285997,58278
ENSG00000285998,ENSG00000285998,58279
ENSG00000285999,ENSG00000285999,58280
ENSG00000286000,ENSG00000286000,58281
ENSG00000286001,ENSG00000286001,58282
ENSG00000286002,ENSG00000286002,58283
ENSG00000286003,ENSG00000286003,58284
ENSG00000286004,ENSG00000286004,58285
ENSG00000286005,ENSG00000286005,58286
ENSG00000286006,ENSG00000286006,58287
ENSG00000286007,ENSG00000286007,58288
ENSG00000286008,ENSG00000286008,58289
ENSG00000286009,ENSG00000286009,58290
ENSG00000286010,ENSG00000286010,58291
ENSG00000286011,ENSG00000286011,58292
ENSG00000286012,ENSG00000286012,58293
ENSG00000286013,ENSG00000286013,58294
SPDYE15,ENSG00000286014,58295
ENSG00000286015,ENSG00000286015,58296
ENSG00000286016,ENSG00000286016,58297
ENSG00000286017,ENSG00000286017,58298
ENSG00000286018,ENSG00000286018,58299
NOTCH2NLB,ENSG00000286019,58300
ENSG00000286020,ENSG00000286020,58301
LINC02822,ENSG00000286021,58302
ENSG00000286022,ENSG00000286022,58303
ENSG00000286023,ENSG00000286023,58304
ENSG00000286024,ENSG00000286024,58305
FAM246C,ENSG00000286025,58306
ENSG00000286026,ENSG00000286026,58307
PCSEAT,ENSG00000286027,58308
MIR34BHG,ENSG00000286028,58309
ENSG00000286030,ENSG00000286030,58310
ENSG00000286031,ENSG00000286031,58311
ENSG00000286032,ENSG00000286032,58312
ENSG00000286033,ENSG00000286033,58313
ENSG00000286034,ENSG00000286034,58314
ENSG00000286035,ENSG00000286035,58315
ENSG00000286036,ENSG00000286036,58316
ENSG00000286037,ENSG00000286037,58317
SPDYE13,ENSG00000286038,58318
ENSG00000286039,ENSG00000286039,58319
ENSG00000286040,ENSG00000286040,58320
ENSG00000286041,ENSG00000286041,58321
LCAL1,ENSG00000286042,58322
ENSG00000286043,ENSG00000286043,58323
ENSG00000286044,ENSG00000286044,58324
ENSG00000286045,ENSG00000286045,58325
ENSG00000286046,ENSG00000286046,58326
ENSG00000286047,ENSG00000286047,58327
ENSG00000286048,ENSG00000286048,58328
ENSG00000286049,ENSG00000286049,58329
ENSG00000286050,ENSG00000286050,58330
MAGEA6-DT,ENSG00000286051,58331
ENSG00000286052,ENSG00000286052,58332
ASDURF,ENSG00000286053,58333
ENSG00000286054,ENSG00000286054,58334
ENSG00000286055,ENSG00000286055,58335
ENSG00000286056,ENSG00000286056,58336
ENSG00000286057,ENSG00000286057,58337
